Rank,url,College,Town
846,/reviews/5830.htm,Bemidji State University,Bemidji
1323,/reviews/6536.htm,Benedict College,Columbia
1172,/reviews/5566.htm,Benedictine College,Atchison
714,/reviews/5382.htm,Benedictine University,Lisle
1639,/reviews/14914.htm,Benjamin Franklin Institute of Technology,Boston
955,/reviews/6204.htm,Bennett College,Greensboro
691,/reviews/6743.htm,Bennington College,Bennington
315,/reviews/5699.htm,Bentley University,Waltham
539,/reviews/5590.htm,Berea College,Berea
951,/reviews/7681.htm,Berkeley College,New York City ...
186,/reviews/5700.htm,Berklee College of Music,Boston
719,/reviews/5315.htm,Berry College,Mount Berry
1330,/reviews/6843.htm,Bethany College,Bethany
1580,/reviews/5567.htm,"Bethany College, Kansas",Lindsborg
1627,/reviews/16801.htm,Bethany Lutheran College,Mankato
1100,/reviews/5482.htm,Bethel College,North Newton
1448,/reviews/16802.htm,Bethel University,Mishawaka
631,/reviews/5831.htm,Bethel University,Saint Paul ...
1553,/reviews/6592.htm,"Bethel University, Tennessee",McKenzie
1746,/reviews/7736.htm,Bethesda University,Anaheim
991,/reviews/5254.htm,Bethune-Cookman University,Daytona Beach
1736,/reviews/7715.htm,Beulah Heights University,Atlanta
158,/reviews/6176.htm,"Binghamton University, State University of New York",Vestal
321,/reviews/5011.htm,Biola University,La Mirada
1206,/reviews/4929.htm,Birmingham-Southern College,Birmingham
1401,/reviews/16803.htm,Bismarck State College,Bismarck
1054,/reviews/6574.htm,Black Hills State University,Spearfish
1547,/reviews/5384.htm,Blackburn College,Carlinville
1664,/reviews/5385.htm,Blessing-Rieman College of Nursing and Health Sciences,Quincy
1275,/reviews/6001.htm,Bloomfield College,Bloomfield
581,/reviews/6415.htm,Bloomsburg University of Pennsylvania,Bloomsburg
1576,/reviews/5871.htm,Blue Mountain College,Blue Mountain
1327,/reviews/6766.htm,Bluefield College,Bluefield
1506,/reviews/6844.htm,Bluefield State College,Bluefield
584,/reviews/6274.htm,Bluffton University,Bluffton
724,/reviews/6537.htm,Bob Jones University,Greenville
1662,/reviews/5369.htm,Boise Bible College,Boise ...
236,/reviews/5370.htm,Boise State University,Boise
1645,/reviews/6051.htm,Boricua College,New York City
1030,/reviews/5701.htm,Boston Architectural College,Boston
99,/reviews/5702.htm,Boston College,Chestnut Hill
1541,/reviews/14915.htm,Boston Graduate School of Psychoanalysis,Brookline ...
32,/reviews/5703.htm,Boston University,Boston ...
286,/reviews/5638.htm,Bowdoin College,Brunswick
